Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint3>,valid,101089,951.55348777771
<http://SGKG4.org/shapes/Constraint4>,valid,114863,1230.6758742332458
<http://SGKG4.org/shapes/Constraint1>,valid,17322,346.14531683921814
<http://SGKG4.org/shapes/Constraint4>,valid,128415,1230.7368755340576
<http://SGKG4.org/shapes/Constraint4>,valid,130464,1230.7458753585815
<http://SGKG4.org/shapes/Constraint2>,valid,59446,666.9245500564575
<http://SGKG4.org/shapes/Constraint5>,valid,147473,1550.5201997756958
<http://SGKG4.org/shapes/Constraint4>,valid,130990,1230.7479119300842
<http://SGKG4.org/shapes/Constraint3>,valid,97452,951.5404853820801
<http://SGKG4.org/shapes/Constraint5>,valid,140642,1550.4901685714722
<http://SGKG4.org/shapes/Constraint2>,valid,57736,666.9175853729248
<http://SGKG4.org/shapes/Constraint1>,valid,9938,346.09734869003296
<http://SGKG4.org/shapes/Constraint5>,valid,142491,1550.4981679916382
<http://SGKG4.org/shapes/Constraint4>,valid,132085,1230.7529141902924
<http://SGKG4.org/shapes/Constraint2>,valid,49341,666.8805849552155
<http://SGKG4.org/shapes/Constraint3>,valid,93691,951.5254516601562
<http://SGKG4.org/shapes/Constraint2>,valid,46328,666.8685500621796
<http://SGKG4.org/shapes/Constraint4>,valid,112004,1230.6638741493225
<http://SGKG4.org/shapes/Constraint1>,valid,2050,346.04644441604614
<http://SGKG4.org/shapes/Constraint1>,valid,11988,346.11035990715027
<http://SGKG4.org/shapes/Constraint1>,valid,21646,346.1784062385559
<http://SGKG4.org/shapes/Constraint2>,valid,37725,666.8313982486725
<http://SGKG4.org/shapes/Constraint4>,valid,115563,1230.6788747310638
<http://SGKG4.org/shapes/Constraint4>,valid,120875,1230.7028765678406
<http://SGKG4.org/shapes/Constraint5>,violated,137499,1550.4741668701172
<http://SGKG4.org/shapes/Constraint5>,valid,168612,1550.617202758789
<http://SGKG4.org/shapes/Constraint1>,valid,1893,346.04548239707947
<http://SGKG4.org/shapes/Constraint4>,valid,112441,1230.6658759117126
<http://SGKG4.org/shapes/Constraint2>,valid,65808,666.9511778354645
<http://SGKG4.org/shapes/Constraint1>,valid,19302,346.1603229045868
<http://SGKG4.org/shapes/Constraint4>,valid,118502,1230.6919131278992
<http://SGKG4.org/shapes/Constraint3>,violated,69417,951.4334905147552
<http://SGKG4.org/shapes/Constraint1>,valid,21366,346.1774182319641
<http://SGKG4.org/shapes/Constraint3>,violated,73087,951.4494500160217
<http://SGKG4.org/shapes/Constraint5>,valid,150911,1550.535166978836
<http://SGKG4.org/shapes/Constraint3>,violated,74893,951.4554495811462
<http://SGKG4.org/shapes/Constraint2>,valid,39383,666.8393983840942
<http://SGKG4.org/shapes/Constraint3>,valid,87623,951.5044500827789
<http://SGKG4.org/shapes/Constraint3>,valid,96072,951.5344521999359
<http://SGKG4.org/shapes/Constraint1>,valid,574,346.03544068336487
<http://SGKG4.org/shapes/Constraint4>,valid,134056,1230.7608759403229
<http://SGKG4.org/shapes/Constraint2>,valid,41199,666.8463985919952
<http://SGKG4.org/shapes/Constraint1>,valid,2715,346.0504457950592
<http://SGKG4.org/shapes/Constraint1>,valid,11635,346.10835313796997
